,Unnamed: 0,softwareUnderstanding,understandingConcepts,practiceSM,testSM,tipo_estudante
505,505,1.29,0.99,1.9349999999999998,1575,1
506,506,1.1099999999999999,0.8999999999999999,1065,1605,3
507,507,1.17,0.9299999999999999,1875,0.9149999999999999,1
508,508,1.17,0.9299999999999999,0.9149999999999999,1065,2
509,509,1.38,1035,1.98,1.02,1
510,510,0.75,0.72,435,1815,3
511,511,0.75,0.72,1065,975,2
512,512,0.75,0.72,1035,735,2
513,513,0.75,0.72,0.46499999999999997,1.7249999999999999,2
514,514,0.75,0.72,1575,375,2
515,515,1.1099999999999999,0.8999999999999999,1905,1815,1
516,516,0.75,0.72,735,1335,2
517,517,0.75,0.72,765,945,2
518,518,1.98,1335,1.38,2.28,0
519,519,0.96,825,1.38,1.02,2
520,520,0.96,825,1.3499999999999999,1.74,3
521,521,0.75,0.72,1395,1815,3
522,522,0.75,0.72,765,1845,3
523,523,1.44,1065,1.56,1.47,1
524,524,0.39,0.54,615,495,2
525,525,1.02,855,0.69,0.8999999999999999,2
526,526,1.38,1035,1.65,1.5899999999999999,1
527,527,1.56,1125,2.1,0.96,1
528,528,0.54,615,0.75,1.44,2
529,529,0.54,615,0.8999999999999999,0.54,2
530,530,0.54,615,1.08,1.74,2
531,531,0.54,615,1.5899999999999999,0.6599999999999999,2
532,532,0.75,0.72,1155,1005,2
533,533,0.54,615,0.32999999999999996,0.51,2
534,534,0.54,615,0.39,1.3499999999999999,2
535,535,0.54,615,1.47,1.77,3
536,536,0.54,615,1.77,0.72,1
537,537,0.75,0.72,0.6749999999999999,1035,2
538,538,0.75,0.72,645,735,2
539,539,1.68,1185,1.53,1.6199999999999999,3
540,540,1.56,1125,2.25,0.84,1
541,541,1.02,855,1.3199999999999998,1.77,3
542,542,1.02,855,1.56,1.23,1
543,543,1.56,1125,1.23,1.5899999999999999,3
544,544,0.99,0.84,1515,1125,1
545,545,2.1,1395,1.47,2.4,0
546,546,0.32999999999999996,0.51,0.6749999999999999,345,2
547,547,0.78,735,0.78,0.8099999999999999,2
548,548,0.96,825,0.63,1.95,3
549,549,1.2,0.96,1.38,0.6599999999999999,1
550,550,0.54,0.63,0.99,0.27,2
551,551,1.2,0.96,1.1099999999999999,0.63,2
552,552,0.72,0.72,0.36,1.8299999999999998,3
553,553,0.54,0.63,0.57,0.69,2
554,554,1.3199999999999998,1.02,0.8099999999999999,1.05,2
555,555,0.63,0.6749999999999999,495,585,2
556,556,0.63,0.6749999999999999,1185,645,2
557,557,0.63,0.6749999999999999,945,1.6949999999999998,2
558,558,1.77,1.2449999999999999,2385,1095,1
559,559,1.05,885,1605,1125,1
560,560,0.84,0.78,0.51,1.05,2
561,561,0.84,0.78,1.92,0.51,1
562,562,1.05,885,1905,975,1
563,563,0.96,0.84,0.87,1.77,3
564,564,1.29,1005,885,885,2
565,565,0.75,735,1785,1635,1
