,softwareUnderstanding,understandingConcepts,practiceSM,testSM,tipo_estudante
7729,70,73.5,83.0,69.0,0
7730,46,61.5,59.0,30.0,1
7731,20,48.5,48.0,53.0,3
7732,59,68.0,46.5,69.5,0
7733,48,62.5,73.0,61.0,0
7734,66,71.5,83.0,66.0,0
7735,43,60.0,60.5,24.5,1
7736,37,57.0,56.5,18.5,1
7737,32,54.5,58.0,64.0,3
7738,50,63.5,41.0,25.0,1
7739,46,61.5,71.0,62.0,0
7740,59,68.0,37.5,71.5,0
7741,47,62.0,43.5,46.5,3
7742,39,58.0,66.5,42.5,1
7743,70,73.5,57.0,43.0,0
7744,46,61.5,27.0,55.0,3
7745,51,64.0,37.5,68.5,3
7746,40,58.5,61.0,48.0,1
7747,61,69.0,62.5,37.5,0
7748,52,64.5,73.0,44.0,0
7749,37,57.0,54.5,28.5,1
7750,51,64.0,37.5,41.5,3
7751,28,52.5,61.0,60.0,1
7752,67,72.0,49.5,36.5,0
7753,37,57.0,61.5,51.5,1
7754,37,57.0,40.5,34.5,1
7755,46,61.5,73.0,53.0,0
7756,51,64.0,36.5,60.5,3
7757,28,53.0,33.0,37.0,2
7758,50,64.0,53.0,62.0,0
7759,47,62.5,70.5,38.5,1
7760,47,62.5,65.5,73.5,0
7761,50,64.0,42.0,72.0,0
7762,51,64.5,71.5,41.5,0
7763,46,62.0,37.0,43.0,3
7764,51,64.5,61.5,57.5,0
7765,45,61.5,23.5,48.5,3
7766,52,65.0,64.0,49.0,0
7767,45,61.5,23.5,56.5,3
7768,45,61.5,49.5,67.5,0
7769,45,61.5,71.5,56.5,0
7770,52,65.0,35.0,53.0,3
7771,53,65.5,76.5,29.5,1
7772,21,49.5,24.5,18.5,2
7773,86,82.0,88.0,88.0,0
7774,42,60.0,44.0,24.0,1
7775,42,60.0,62.0,22.0,1
7776,21,49.5,40.5,58.5,3
7777,54,66.0,57.0,51.0,0
7778,42,60.0,23.0,21.0,2
7779,55,66.5,61.5,56.5,0
7780,55,66.5,67.5,77.5,0
7781,41,59.5,69.5,28.5,1
7782,31,54.5,53.5,19.5,1
7783,22,50.0,21.0,46.0,2
7784,56,67.0,40.0,40.0,0
7785,56,67.0,37.0,47.0,3
7786,56,67.0,31.0,32.0,3
7787,56,67.0,70.0,74.0,0
7788,31,54.5,32.5,59.5,3
7789,39,58.5,68.5,24.5,1
